t_uid,metric_name,resource_name,group_name,attributes,mr_id
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,Latency,mysql-predictive,Latency,"{'group': 'Latency', 'node': 'mysql-predictive'}",de4ef4bf-946c-3b27-9863-73c7a7af32d5
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,Latency,ratings-predictive,Latency,"{'group': 'Latency', 'node': 'ratings-predictive'}",e4c36a3d-7ca3-3003-b4b9-4abe4a63ed9e
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsageMax,mysql-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'mysql-predictive'}",48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsageMax,ratings-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'ratings-predictive'}",a921a433-2878-32b5-a141-769c9717c4bc
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsageMean,mysql-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'mysql-predictive'}",6e0a7aed-013f-34a7-afa2-dbb66cbf1304
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsageMean,ratings-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'ratings-predictive'}",caa67515-da0d-33ae-8e56-c03fb35da99b
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsagePercent,mysql-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'mysql-predictive'}",0acf99e5-758b-3d3f-8d8d-6c159322009d
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,MemoryUsagePercent,ratings-predictive,MemoryUsage,"{'group': 'MemoryUsage', 'node': 'ratings-predictive'}",bdd13495-ed91-316f-8ad2-6575ab59aae5
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,PodRestarts,mysql-predictive,PodRestarts,"{'group': 'PodRestarts', 'node': 'mysql-predictive'}",9ee771c4-6124-3316-ac09-a91e39b64397
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,PodRestarts,ratings-predictive,PodRestarts,"{'group': 'PodRestarts', 'node': 'ratings-predictive'}",56afbf4d-4164-3e08-966c-427387e72789
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,TransactionsPerSecond,mysql-predictive,TransactionsPerSecond,"{'group': 'TransactionsPerSecond', 'node': 'mysql-predictive'}",6f837c30-6dbe-34ca-87b6-1f2abf7eb402
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,TransactionsPerSecond,ratings-predictive,TransactionsPerSecond,"{'group': 'TransactionsPerSecond', 'node': 'ratings-predictive'}",820087ad-0a67-3ba5-abce-c2429e7ebece
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,CPU1Temperature,DCWest1-Rack045-DELL3762,System,"{'group': 'System', 'node': 'DCWest1-Rack045-DELL3762'}",7edec544-92e7-3a88-9e69-8fda5b1c49bb
