t_uid,mr_id,metric_name,resource_name,group_name,attributes
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,7edec544-92e7-3a88-9e69-8fda5b1c49bb,CPU1Temperature,DCWest1-Rack045-DELL3762,System,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,d2643b1c-bd64-3e60-88df-d9c2d969decf,CPU1Temperature,DCWest1-Rack046-DELL3765,System,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,46b764cb-9ad6-326d-971b-c15b7423e49a,Latency,acme-booking-db,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,32c45c28-d274-345a-9bb0-7a162565bc43,Latency,acme-booking-service,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,7a82b275-5108-3665-b4bc-c89df485ef50,Latency,catalogue-db-predictive,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,ca73ee22-e57b-38d4-9a40-dad86082bbab,Latency,catalogue-predictive,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,de4ef4bf-946c-3b27-9863-73c7a7af32d5,Latency,mysql-predictive,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e4c36a3d-7ca3-3003-b4b9-4abe4a63ed9e,Latency,ratings-predictive,Latency,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,MemoryUsageMax,mysql-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,a921a433-2878-32b5-a141-769c9717c4bc,MemoryUsageMax,ratings-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,6e0a7aed-013f-34a7-afa2-dbb66cbf1304,MemoryUsageMean,mysql-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,caa67515-da0d-33ae-8e56-c03fb35da99b,MemoryUsageMean,ratings-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,MemoryUsagePercent,mysql-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,bdd13495-ed91-316f-8ad2-6575ab59aae5,MemoryUsagePercent,ratings-predictive,MemoryUsage,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,97abafe7-94d3-3aea-b5b7-89c88d069166,PodRestarts,acme-booking-service,PodRestarts,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,9ee771c4-6124-3316-ac09-a91e39b64397,PodRestarts,mysql-predictive,PodRestarts,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,56afbf4d-4164-3e08-966c-427387e72789,PodRestarts,ratings-predictive,PodRestarts,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,554d3eb2-c830-3112-a14e-0a54912365d6,TransactionsPerSecond,acme-booking-db,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,c5b0f2a7-0005-3f53-9eaa-5495d843b454,TransactionsPerSecond,acme-booking-service,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,3e03e1ba-dbad-3278-a3e6-39797cf0c843,TransactionsPerSecond,catalogue-db-predictive,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,3fc73093-c20d-3115-8b7c-962f82906e20,TransactionsPerSecond,catalogue-predictive,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0fc7bc0d-7c8c-3e70-8091-43d3b2c5d64a,TransactionsPerSecond,dSwitch-1-vm-network-port-1,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,2b109fd5-8184-3866-918d-970007b57835,TransactionsPerSecond,dSwitch-5-vm-network-port-1,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,c73fb9e0-bdf4-3e65-b4bb-45926325c269,TransactionsPerSecond,dcwest1-switch023,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,8755be37-a078-3f8d-9d18-5b9a07c34748,TransactionsPerSecond,dcwest1-switch025,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,6f837c30-6dbe-34ca-87b6-1f2abf7eb402,TransactionsPerSecond,mysql-predictive,TransactionsPerSecond,{}
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,820087ad-0a67-3ba5-abce-c2429e7ebece,TransactionsPerSecond,ratings-predictive,TransactionsPerSecond,{}
